model,y,term,estimate,std.error,statistic,p.value,p.adj,sig,component,alpha.adj,ci.lower,ci.upper,AIC,min,BIC,pseudoR2,max
fractional_logit,Grave_goods,n_countries_log,-0.43522353874722153,0.275898844388883,-1.5774750333269547,0.11468626243596788,0.5734313121798394,,NA,0.01,-1.1458918669393845,0.27544478944494133,42.27323955822883,0,45.07563432155314,0.07163008005102518,0
fractional_logit,Grave_goods,n_samples_log,-0.09385750549372616,0.31170972593341656,-0.30110547629744094,0.7633340652237758,1,,NA,0.01,-0.896768551754217,0.7090535407667646,44.63361757129219,0,47.4360123346165,0.0036798771956748364,0
fractional_logit,Grave_goods,year_publication,0.18577104587878768,0.3038908231705924,0.6113085085642849,0.5409953591633456,1,,NA,0.01,-0.5969998415236213,0.9685419332811966,45.441604160389886,0,48.243998923714194,0.014228118638641084,1
fractional_logit,Images,arch_index,-0.014323328149773813,0.4079877190230062,-0.035107253189074865,0.9719942177705538,1,,NA,0.01,-1.0652300502973082,1.0365833939977604,27.627989350648075,1,30.430384113972387,3.481640196190135e-5,1
fractional_logit,Images,n_authors_log,-0.6915995614469147,0.4028934585069208,-1.716581758388203,0.08605561782663985,0.43027808913319926,,NA,0.01,-1.729384338077204,0.34618521518337475,25.110821726606282,1,27.913216489930594,0.06419327481594049,0
fractional_logit,Images,n_countries_log,-1.3745020800522536,0.6850399200064375,-2.0064554486683592,0.04480767747318955,0.22403838736594772,,NA,0.01,-3.1390479801056297,0.3900438200011225,22.926423272982934,1,25.728818036307246,0.13805851642397862,0
fractional_logit,Images,n_samples_log,-0.91606057751993,0.3121905535731658,-2.9342994752249596,0.0033430148577603415,0.016715074288801708,*,NA,0.01,-1.720210153704843,-0.11191100133501686,26.26793518834736,1,29.07032995167167,0.1529149919663264,1
fractional_logit,Images,year_publication,-0.5000504204353508,0.4432964006017871,-1.1280272516458931,0.2593084103034511,1,,NA,0.01,-1.641906279263186,0.6418054383924846,27.8276184357446,1,30.630013199068912,0.03802817460654264,0
fractional_logit,IndividualID,arch_index,0.11786715278334682,0.42087910023986697,0.28004990676935987,0.7794392160544492,1,,NA,0.01,-0.9662455668657974,1.201979872432491,36.77789582660634,1,39.58029058993065,0.004689997257027675,1
fractional_logit,IndividualID,n_authors_log,-0.41018161733657993,0.28144880154384777,-1.4573933699009782,0.14500782619597688,0.7250391309798844,,NA,0.01,-1.135145687801942,0.314782453128782,35.44858918348111,1,38.25098394680542,0.05437173650843486,1
fractional_logit,IndividualID,n_countries_log,-0.1445699833027136,0.28879727983605463,-0.5005932998565068,0.6166573788189783,1,,NA,0.01,-0.888462479489635,0.5993225128842077,36.78249303053606,1,39.58488779386037,0.0070639757299886885,1
fractional_logit,IndividualID,n_samples_log,0.16361100391295988,0.3119379833019379,0.5244984986473863,0.5999318637758639,1,,NA,0.01,-0.6398879943661192,0.967110002192039,36.87290692827783,1,39.67530169160214,0.009114558786606818,0
fractional_logit,IndividualID,year_publication,0.3429501344197505,0.30359157442347856,1.1296431235649869,0.25862663221952203,1,,NA,0.01,-0.43904993929079233,1.1249502081302933,36.71582552755109,1,39.5182202908754,0.03682009578847984,1
fractional_logit,Multiple_names,arch_index,0.29759213650624755,0.2512693813174051,1.1843549538187752,0.2362725837925722,1,,NA,0.01,-0.349634898975727,0.9448191719882222,24.30391571486303,1,27.106310478187343,0.023863809983368317,1
