aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
VAR017,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR018,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,0,1.2,1.1,1.1,1,0,NA,NA
VAR019,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1,1,0,NA,NA
VAR020,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.1,0,1.1,0,1.2,1,0,NA,NA
VAR021,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.1,0,1,0,1.2,1,0,NA,NA
VAR022,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR023,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.1,0,1.2,1.1,1.2,1,0,NA,NA
VAR026,pensk2023a,Bulgaria,0,1,0,1,1,1,1.1,1,1,1,1.2,0,1.1,0,1.1,1,0,NA,NA
VAR027,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.1,1,0,NA,NA
VAR030,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR032,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,0,1.2,1.1,1.2,1,0,NA,NA
VAR033,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.1,0,1.2,1.1,1.2,1,0,NA,NA
VAR034,pensk2023a,Bulgaria,0,1,0,1,1,1,0.1,1,1,1,1.2,1,1,0,1.1,1,0,NA,NA
YUN001,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,0,0,1.2,1.1,0,1,0,NA,NA
YUN003,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,0,0,NA,NA
YUN005,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN006,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,NA,NA
YUN007,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN009,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,1.2,0,0,1,0,NA,NA
YUN012,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
YUN013,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN014,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN015,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN019,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,1,0,NA,NA
YUN021,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,1,0,NA,NA
YUN025,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
YUN026,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,1.3,1.1,0,1,0,NA,NA
YUN027,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,1.2,1.1,0,1,0,NA,NA
YUN028,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,1,1.1,0,1,0,NA,NA
YUN031,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA
YUN033,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN034,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN035 + YUN036,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN037 + YUN038,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN039,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN041,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN042,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN043,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.1,1,1,0,0,1,0,NA,NA
YUN045,pensk2023a,Bulgaria,0,1,0,1,1,1,1,0,1,1,1.2,1,1,0,0,1,0,NA,NA
YUN048,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,1,0,NA,NA
YUN049,pensk2023a,Bulgaria,0,1,0,1,1,1,1,1,1,1,1.3,0,0,0,0,0,0,NA,NA
I1875 / Grave 4 STANKOa,mathi2018a,Croatia,0,1,0,1,0,1,1,0,1,1,1.3,1,0,0,0,1,0,NA,NA
I2792 / GEN64 Grave 3 / skeleton 6 (D),mathi2018a,Croatia,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,1,0,NA,NA
I3313 / JAZ1,mathi2018a,Croatia,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA
"I3433 / ZC1 (SJ78, PU380)",mathi2018a,Croatia,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,NA,NA
I3498 / LP13.3=GEN71 Grave number 15,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,1,1.1,1.1,0,1,0,NA,NA
I3499 / LP13.4=GEN72 Grave number 17,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,1,1.1,1.1,0,1,0,NA,NA
"I3947 / ZC2 (SJ110, PU387)",mathi2018a,Croatia,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,NA,NA
I3948 / ZC3 (SJ103-35),mathi2018a,Croatia,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,NA,NA
I4167 / GEN_69 Grave number 7,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,0,1.2,1.1,1.1,1,0,NA,NA
I4168 / GEN_70 Grave number 14,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,0,1.2,1.1,0,1,0,NA,NA
