CitationID,Name,Affiliation
allen2024a,"Gotfredsen, Anne Birgitte","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Gromov, Andrey","Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences, Saint Petersburg, Russian Federation"
allen2024a,"Guilaine, Jean","Collège de France, 75231 Paris cedex 05, France"
allen2024a,"Gutiérrez-Zugasti, Igor","Instituto Internacional de Investigaciones Prehistóricas de Cantabria, Universidad de Cantabria, Santander, Spain"
allen2024a,"Halgren, Alma","Department of Integrative Biology, University of California, Berkeley, USA"
allen2024a,"Hansen, Anders J.","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Hansen, Jesper","Odense City Museums, Overgade 48, Odense, Denmark"
allen2024a,"Hede, Mikkel Ulfeldt","Tårnby Gymnasium og HF, Kastrup, Denmark"
allen2024a,"Henriksen, Rasmus A.","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Ilardo, Melissa","Anthropology Department, University of Utah, USA"
allen2024a,"Ingason, Andrés","Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, Roskilde, Denmark"
allen2024a,"Ingason, Andrés","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Irving-Pease, Evan K.","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Iversen, Rune","The Saxo Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Johannsen, Niels Nørkjær","Department of Archaeology and Heritage Studies, Aarhus University, Aarhus, Denmark"
allen2024a,"Johansen, Morten","The Viking Ship Museum, Vindeboder 12, Roskilde, Denmark"
allen2024a,"Jørgensen, Thomas","Museum Nordsjælland, Frederiksgade 9, 3400 Hillerød"
allen2024a,"Kannegaard, Esben","Museum Østjylland, Stemannsgade 2, Randers, Denmark"
allen2024a,"Kjær, Kurt H.","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Klassen, Lutz","Museum Østjylland, Stemannsgade 2, Randers, Denmark"
allen2024a,"Sand Korneliussen, Thorfinn","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Kosintsev, Pavel","Paleoecology Laboratory, Institute of Plant and Animal Ecology, Ural Branch of the Russian Academy of Sciences, Ekaterinburg, Russian Federation"
allen2024a,"Kosintsev, Pavel","Department of History of the Institute of Humanities, Ural Federal University, Ekaterinburg, Russian Federation"
allen2024a,"Kostyleva, Elena","Institute of Humanities, Ivanovo State University, Ivanovo, Russian Federation"
allen2024a,"Kristiansen, Kristian","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Kristiansen, Kristian","Department of Historical Studies, University of Gothenburg, Gothenburg, Sweden"
allen2024a,"Lalueza-Fox, Carles","Institute of Evolutionary Biology, CSIC-Universitat Pompeu Fabra, Barcelona, Spain"
allen2024a,"Larsson, Lars","Department of Archaeology and Ancient History, Lund University, Lund, Sweden"
allen2024a,"Lawson, Daniel J.","Institute of Statistical Sciences, School of Mathematics, University of Bristol, Bristol, UK"
allen2024a,"Liesau, Corina","Departamento de Prehistoria y Arqueología Department, Universidad Autónoma de Madrid, Madrid, Spain"
allen2024a,"Logvin, Andrey","Kostanay Regional University A. Baitursynov, Kostanay, Kazakhstan"
allen2024a,"Lordkipanidze, David O.","Georgian National Museum, Tbilisi, Georgia"
allen2024a,"Lordkipanidze, David O.","Tbilisi State University, Tbilisi, Georgia"
allen2024a,"Lotz, Per","Museum Nordsjælland, Frederiksgade 9, 3400 Hillerød"
allen2024a,"Lotz, Per","Museum Vestsjælland, Klosterstræde 18, 4300 Holbæk, Denmark"
allen2024a,"Lozovskaya, Olga V.","Laboratory for Experimental Traceology, Institute for the History of Material Culture of the Russian Academy of Sciences, Dvortsovaya nab., 18, 191186, St. Petersburg, Russian Federation"
allen2024a,"Lynnerup, Niels","Institute of Statistical Sciences, School of Mathematics, University of Bristol, Bristol, UK"
allen2024a,"Lysdahl, Per","Vendsyssel Historiske Museum, DK-9800 Hjørring, Denmark"
allen2024a,"Macleod, Ruairidh","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Macleod, Ruairidh","GeoGenetics Group, Department of Zoology, University of Cambridge, Cambridge, UK"
allen2024a,"Macleod, Ruairidh","Research department of Genetics, Evolution and Environment, University College London, London, UK"
allen2024a,"Magnusson, Yvonne","Malmö Museer, Malmöhusvägen 6, Malmö, Sweden"
allen2024a,"Margaryan, Ashot","Section for Evolutionary Genomics, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Margaryan, Ashot","Centre for Evolutionary Hologenomics, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Maring, Rikke","Department of Archaeology and Heritage Studies, Aarhus University, Aarhus, Denmark"
allen2024a,"Maring, Rikke","Museum Østjylland, Stemannsgade 2, Randers, Denmark"
allen2024a,"Martinez-Labarga, Cristina","Department of Biology, University of Rome “Tor Vergata”, Rome, Italy"
allen2024a,"McColl, Hugh","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
